orig_index,lat,lon,datetime,error
93,38.913634,-77.070315,2011/01/29 14:30:00+00,index 11 is out of bounds for axis 0 with size 10
94,38.906439,-77.062852,2011/01/28 15:00:00+00,index 11 is out of bounds for axis 0 with size 10
95,38.831352,-77.007259,2011/01/31 17:08:00+00,index 11 is out of bounds for axis 0 with size 10
96,38.931876,-77.072945,2011/02/02 14:02:00+00,index 11 is out of bounds for axis 0 with size 10
97,38.902405,-77.051935,2011/02/01 20:24:00+00,index 11 is out of bounds for axis 0 with size 10
98,38.935715,-77.032732,2011/02/03 05:00:00+00,index 11 is out of bounds for axis 0 with size 10
99,38.92162,-77.042927,2011/02/06 05:00:00+00,index 11 is out of bounds for axis 0 with size 10
100,38.917735,-77.024402,2011/02/09 21:30:00+00,index 11 is out of bounds for axis 0 with size 10
101,38.957028,-77.08958,2011/02/11 10:30:00+00,index 11 is out of bounds for axis 0 with size 10
102,38.909644,-77.039132,2011/02/11 02:15:00+00,index 11 is out of bounds for axis 0 with size 10
103,38.941878,-77.025291,2011/02/10 05:00:00+00,index 11 is out of bounds for axis 0 with size 10
104,38.907147,-76.983507,2011/02/10 12:50:00+00,index 11 is out of bounds for axis 0 with size 10
105,38.923919,-76.98682,2011/02/12 05:00:00+00,index 11 is out of bounds for axis 0 with size 10
106,38.908736,-76.986001,2011/02/15 07:00:00+00,index 11 is out of bounds for axis 0 with size 10
107,38.921512,-76.963704,2011/02/16 13:02:00+00,index 11 is out of bounds for axis 0 with size 10
108,38.961316,-77.019894,2011/02/16 05:00:00+00,index 11 is out of bounds for axis 0 with size 10
109,38.822522,-77.000182,2011/02/18 22:15:00+00,index 11 is out of bounds for axis 0 with size 10
110,38.961265,-77.002763,2011/02/22 05:00:00+00,index 11 is out of bounds for axis 0 with size 10
111,38.928636,-77.031675,2011/02/22 17:16:00+00,index 11 is out of bounds for axis 0 with size 10
112,38.908897,-77.004593,2011/02/22 12:30:00+00,index 11 is out of bounds for axis 0 with size 10
113,38.937839,-77.0272,2011/02/20 03:00:00+00,index 11 is out of bounds for axis 0 with size 10
114,38.929329,-77.032711,nan,index 11 is out of bounds for axis 0 with size 10
